match_id,home_vote,away_vote
12293433,2,0
12293440,108,174
12293441,20,16
12293442,4,6
12293445,6,4
12293448,0,34
12293451,6,82
12293457,0,16
12293459,2,2
12293460,26,24
12293462,6,8
12293463,0,0
12293464,2,30
12293465,0,0
12293466,10,2
12293468,10,136
12293469,102,240
12293470,12,42
12293471,6,14
12293472,70,0
12293473,60,22
12293474,44,130
12293475,6,10
12293476,6,28
12293477,48,2
12293478,8,28
12293480,6,26
12293481,2,18
12293482,24,2
12293483,84,6
12293484,26,28
12293485,0,12
12293486,44,24
12293487,78,18
12293488,2,22
12293489,24,4
12293490,120,16
12293491,0,22
12293492,60,14
12293493,0,0
12293494,6,6
12293495,0,46
12293496,76,10
12293497,16,8
12293498,26,26
12293499,28,76
12293500,10,18
12293501,4,20
12293502,4,52
12293503,32,44
12293505,14,56
12293506,12,20
12293507,56,38
12293508,30,20
12293509,16,36
12293510,0,18
12293513,2,36
12293516,10,16
12293517,18,4
12293519,40,16
12293523,14,102
12293524,138,68
12293525,56,32
12293527,10,16
12293528,180,0
12293529,8,28
12293530,86,78
12293531,6,52
12293533,90,10
12293534,34,20
12293535,106,72
12293536,10,10
12293537,26,36
12293538,14,6
12293539,76,24
12293540,6,16
12293541,28,12
12293542,24,42
12293543,8,14
12293544,12,24
12293545,70,4
12293558,430,44
12293559,76,834
12293560,124,296
12293561,130,22
12293562,72,336
12293563,42,464
12293564,194,8
12293643,22,60
12293644,150,4
12293645,12,30
12293649,4,48
12293650,78,4
12293651,8,120
12293652,74,8
12293653,106,12
12293656,12,34
12293657,106,18
12293726,70,14
12293727,2,0
12293728,2,70
12293729,16,10
12293730,0,26
12293731,4,12
12293732,36,2
12293733,22,10
12293734,38,2
12293735,8,50
12293736,24,12
12293737,8,46
12293738,8,4
12293739,40,2
12293740,14,106
12293741,0,40
12293743,10,50
12293745,38,4
12293747,12,14
12293748,18,72
12293750,18,32
12293751,30,38
12293756,70,20
12293757,48,40
12293758,44,14
12293759,2,36
12293760,20,84
12293761,20,26
12294022,300,204
12294023,82,190
12294024,218,48
12294025,40,80
12294026,50,136
12294027,26,50
12294068,44,150
12295042,2,6
12295043,4,12
12295044,14,14
12295045,8,24
12295046,34,6
12295047,0,30
12295048,6,28
12295101,2,46
12295102,18,8
12295103,6,40
12295104,14,132
12295105,44,52
12295106,96,0
12295107,6,30
12295118,0,10
12295121,48,20
12295130,10,34
12295143,42,116
12295144,6,32
12295145,8,72
12295148,2,12
12295149,8,4
12295150,4,0
12295151,4,14
12295152,10,36
12295153,10,2
12295154,0,42
12295155,10,14
12295156,16,32
12295157,2,40
12295158,2,60
12295159,10,48
12295160,30,16
12295161,44,18
12295162,20,22
12295163,56,2
12295164,0,58
12295165,74,0
12295172,30,2
12295181,14,20
12295217,16,10
12295218,28,2
12295219,12,2
12295220,14,8
12295221,2,20
12295222,28,4
12295223,22,2
12295227,22,10
12295240,32,28
12295300,38,14
12295301,24,22
12295302,4,24
12295303,16,22
12295304,6,48
12295305,0,16
12295306,24,24
12295352,58,86
12295353,110,6
12295369,68,74
12295415,34,8
12295427,60,0
12295428,4,48
12295429,0,14
12295430,88,28
12295431,24,4
12295432,4,10
12295433,34,8
12295434,114,26
12295435,30,14
12295487,26,2
12295488,26,10
12295489,14,8
12295490,10,30
12295491,16,40
12295492,12,10
12295493,6,50
12295516,10,10
12295517,18,42
12295525,16,52
12295535,72,0
12295538,0,0
12295539,18,6
12295550,34,4
12295551,28,32
12295552,16,30
12295553,16,0
12295554,6,26
12295555,0,0
12295556,74,16
12295557,6,0
12295558,36,18
12295588,28,84
12295590,868,782
12295591,210,206
12295592,688,1694
12295593,678,524
12295614,352,40
12295719,136,578
12295720,602,584
12295722,262,68
12295735,58,6
12295809,0,0
12295812,2,66
12295817,0,64
12295820,0,4
12295821,20,0
12295822,6,40
12295823,14,16
12295824,24,38
12295825,18,62
12295826,8,54
12295831,30,0
12295832,8,8
12295833,20,44
12295834,8,2
12295835,18,24
12295836,2,34
